"empresa","qtde_viagens_omitidas","qtde_total_de_viagens","percentual_viagens_omitidas"
"Agência São Paulo de Desenvolvimento",2,786,"0.25%"
"Autarquia Hospitalar Municipal",6,9085,"0.07%"
"Autoridade Municipal de Limpeza Urbana",9,1068,"0.84%"
"Coordenadoria Regional de Saúde Centro   UVIS Sé",1,712,"0.14%"
"Coordenadoria Regional de Saúde leste",6,14861,"0.04%"
"Coordenadoria Regional de Saúde Norte",36,11437,"0.31%"
"Coordenadoria Regional de Saúde Oeste",3,6383,"0.05%"
"Coordenadoria Regional de Saúde Sudeste",149,42006,"0.35%"
"Coordenadoria Regional de Saúde Sul",2,11315,"0.02%"
"Diretoria Regional de Educação Ipiranga",1,2987,"0.03%"
"Diretoria Regional de Educação Itaquera",1,4563,"0.02%"
"Empresa de Tecnologia da Informação e Comunicação do Município de São Paulo - PRODAM - SP",2,8358,"0.02%"
"Fundação Paulistana de Educação, Tecnologia e Cultura",2,782,"0.26%"
"Instituto de Previdência Municipal de São Paulo   IPREM",520,1222,"42.55%"
"Prefeitura do Município de São Paulo - Secretaria do Governo Municipal",292,8199,"3.56%"
"Prefeitura Regional Aricanduva/Formosa/Carrão",4,8530,"0.05%"
"Prefeitura Regional Campo Limpo",1,753,"0.13%"
"Prefeitura Regional Casa Verde/Cachoeirinha",6,2598,"0.23%"
"Prefeitura Regional da M Boi Mirim",6,3637,"0.16%"
"Prefeitura Regional da Sé",2,6702,"0.03%"
"Prefeitura Regional de Guaianases",2,539,"0.37%"
"Prefeitura Regional de São Mateus",3,2222,"0.14%"
"Prefeitura Regional de Vila Maria Vila Guilherme",2,382,"0.52%"
"Prefeitura Regional Ermelino Matarazzo",32,3181,"1.01%"
"Prefeitura Regional Ipiranga",5,4699,"0.11%"
"Prefeitura Regional Itaim Paulista",7,8102,"0.09%"
"Prefeitura Regional Itaquera",1,3821,"0.03%"
"Prefeitura Regional Jabaquara",14,2313,"0.61%"
"Prefeitura Regional Lapa",12,5146,"0.23%"
"Prefeitura Regional Penha",18,2227,"0.81%"
"Prefeitura Regional Perus",3,342,"0.88%"
"Prefeitura Regional Vila Mariana",13,5284,"0.25%"
"São Paulo Secretaria Municipal de Cultura",86,8949,"0.96%"
"Secretaria Municipal da Fazenda",94,6873,"1.37%"
"Secretaria Municipal da Saúde/Fundo Municipal de Saúde",5,3192,"0.16%"
"Secretaria Municipal de Direitos Humanos e Cidadania",9,1829,"0.49%"
"Secretaria Municipal de Educação",12,8005,"0.15%"
"Secretaria Municipal de Esporte e Lazer",48,2155,"2.23%"
"Secretaria Municipal de Gestão - SMG",945,5481,"17.24%"
"Secretaria Municipal de Inovação e Tecnologia",18,3445,"0.52%"
"Secretaria Municipal de Mobilidade e Transportes",2,620,"0.32%"
"Secretaria Municipal de Trabalho e Empreendedorismo",4,5739,"0.07%"
"Subprefeitura Santana Tucuruvi",1,411,"0.24%"
"Subprefeitura Santo Amaro",1,497,"0.2%"
